9	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
13	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
17	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
21	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
25	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
29	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
33	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
37	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
41	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
45	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
49	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
53	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
57	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
61	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
65	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
69	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
73	2008-04-30,27.17,27.78,26.76,27.41,30597400,27.41
