42	39.991,0,5.71,100,1.10038
43	40.491,0.55536,1.48,99.99911,1.09972
44	40.991,0.72766,3.00,99.9941,1.09905
45	41.491,0.86354,4.40,100.00489,1.09838
46	41.991,0.98098,5.75,100.01566,1.09772
47	42.491,1.08635,7.03,100.01332,1.09705
48	42.991,1.18241,8.29,100.00984,1.09638
49	43.491,1.27143,9.48,100.0051,1.09572
2349	1193.491,115.36504,7.35,100.70957,0.39636
2350	1193.991,115.41544,3.63,100.7228,0.39623
2351	1194.491,115.46598,5.92,100.72414,0.39611
2352	1194.991,115.5166,-1.94,100.7296,0.39598
2353	1195.491,115.56728,-4.01,100.72159,0.39585
2354	1195.991,115.61799,-5.76,100.72079,0.39573
2355	1196.491,115.66866,-7.17,100.72594,0.3956
2356	1196.991,115.71929,-8.22,100.72882,0.39547
2357	1197.491,115.76988,-9.16,100.73597,0.39535
2358	1197.991,115.82042,-9.99,100.74458,0.39522
